Name,Sb,Sn,Cd,Pd,Ag,Bal,Mo,Nb,Zr,Sr,Rb,Bi,As,Se,Au,Pb,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Ca,K,Al,P,Si,Cl,S,Mg
TRR-096,0,0,0,0,0,53.46388175,0,0.000625576,0.007492108,0.018604062,0.005366576,0,0,0,0,0,0,0.001644818,0,0,0,1.714695198,0.0407396,0.004282629,0.016267212,0.158813608,1.046292333,2.388051981,5.730954498,0.199312645,35.18517434,0.017801069,0,0
TRR-095,0,0,0,0,0,50.76027484,0,0.001341613,0.010603222,0.01288399,0.008148738,0,0,0,0,0.000925907,0,0.002055295,0,0,0,2.273522902,0.04343142,0.006955959,0.018686792,0.198273439,1.18492807,2.937443431,6.140338795,0.189513324,36.19432099,0.016351269,0,0
TRR-093,0,0,0,0,0,52.66253332,0,0.001226255,0.011990477,0.009044673,0.009799796,0,0,0,0,0,0,0.003884066,0,0,0,3.103761291,0.04543269,0.008343578,0.018713185,0.268726194,0.905248499,3.067545381,6.310685654,0.110712615,32.89438293,0.025257099,0,0.5427123
TRR-090,0,0,0,0,0,52.68533065,0,0.001335663,0.007865133,0.008990874,0.010027877,0,0,0,0,0,0,0.001453789,0,0,0,1.584828135,0.036060611,0,0.011154706,0.124799781,0.681658167,3.481234795,5.697966591,0.112853491,35.5426122,0.011827537,0,0
TRR-091,0,0,0,0,0,53.11639391,0,0.001339,0.016897527,0.005914827,0.007293486,0,0.000734322,0,0,0,0,0.002784637,0,0,0,2.26510392,0.037955568,0.004331659,0.019032547,0.199526775,0.177874876,2.821357321,6.404459578,0.141671446,34.76358039,0.013748202,0,0
TRR-040a,0,0,0,0,0,53.556559,0,0.000953079,0.011618902,0.007317786,0.005044665,0,0.002566348,0,0,0.005920749,0,0.00451342,0,0,0,3.066099351,0.052023755,0.007412671,0.021444082,0.230895051,2.473205053,2.00802003,5.439370473,0.121406327,32.68025932,0.021401545,0,0.283968395
CH-029_15-20cm,0,0,0,0,0,49.66415629,0.000697531,0.002264911,0.023965686,0.013036893,0.007442703,0,0.005017676,0,0,0.00437821,0,0.002273474,0,0,0,3.55076687,0.05083,0.016047395,0.023484717,0.411647723,0.096337102,1.978716035,5.11858017,0.241011829,38.76633247,0.023012318,0,0
CH-108,0,0,0,0,0,52.84100202,0.000383042,0.002609754,0.024516724,0.02033366,0.008030438,0,0.006301669,0,0,0.006774408,0,0.015222845,0.011679238,0,0,5.46573895,0.124921686,0.017142662,0.030956219,0.567469422,2.233222966,2.9180834,8.455216218,0.11966764,26.14339127,0.044509,0,0.942826768
V-005_0-63,0,0,0,0,0,48.44679777,0.0010761,0.002258795,0.022198236,0.009642023,0.007548349,0,0.002187859,0,0,0,0,0.019684645,0.020670788,0,0,5.842218713,0.111729371,0.02216415,0.035749004,0.449794508,2.685818914,2.614645254,7.931627337,0.251553221,30.29623725,0.305256745,0.45654666,0.464594307
CH-014_5-10cm,0,0,0,0,0,64.86029144,0.000578637,0.0015435,0.015101828,0.004268571,0.002827464,0,0.001536061,0,0,0.001813028,0,0.008541762,0.004958046,0,0,4.080336483,0.026361331,0.024693118,0.032487892,0.491567672,0.35850133,0.999730325,7.099133154,0.226801816,21.59725528,0.049453925,0.112217336,0
